provider_id,fullName,email,phoneNumber,serviceType,expertise,experienceYears,status,kycStatus,rating,totalJobsCompleted,acceptanceRate,cancellationRate,avgResponseSeconds,serviceRadiusKm,priceLevel,languages,availableSlots,createdAt,latitude,longitude,address,distance_km
17,Pankaj Dwivedi,pankaj.dwivedi.17@pequire.com,+91 7691317325,Laundry,"carpet cleaning,steam iron,bridal wear",14,Online,Verified,1.7,5,80,33,1450,25,standard,"Punjabi,English,Hindi","11:00 AM - 01:00 PM,05:00 PM - 07:00 PM,01:00 PM - 03:00 PM,03:00 PM - 05:00 PM,09:00 AM - 11:00 AM",2025-08-25T16:08:25.781240,26.44492164296002,80.29908578626397,"Govind Nagar, Kanpur",5.98
18,Pankaj Dwivedi,pankaj.dwivedi.18@pequire.com,+91 6043875277,Plumbing,"toilet blockage,sink repair",15,Online,Verified,4.4,323,79,11,1710,25,budget,"English,Bhojpuri","01:00 PM - 03:00 PM,03:00 PM - 05:00 PM,05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,11:00 AM - 01:00 PM",2025-05-29T16:08:25.782369,26.43292582568759,80.36358596773626,"Shyam Nagar, Kanpur",4.47
19,Amit Pandey,amit.pandey.19@pequire.com,+91 9578722647,Plumbing,"water tank cleaning,sink repair,pipe leak,geyser repair,tap fitting",13,Online,Verified,2.1,18,88,29,3100,10,standard,Hindi,"03:00 PM - 05:00 PM,01:00 PM - 03:00 PM",2025-06-23T16:08:25.782369,26.414409500578767,80.32063736888566,"Naubasta, Kanpur",7.05
20,Aman Pandey,aman.pandey.20@pequire.com,+91 9863470286,Carpentry,"sofa repair,lock fix",6,Offline,Verified,4.4,148,91,6,1013,13,premium,"Bhojpuri,Punjabi,English","05:00 PM - 07:00 PM,03:00 PM - 05:00 PM,01:00 PM - 03:00 PM",2026-03-02T16:08:25.782369,26.471944849058158,80.30637505237091,"Gumti No. 5, Kanpur",4.46
21,Shakeel Kushwaha,shakeel.kushwaha.21@pequire.com,+91 9151868895,Carpentry,"sofa repair,bed repair,door repair,lock fix,cabinet fix",13,Offline,Verified,3.7,2,84,16,2324,12,budget,"Bhojpuri,English","09:00 AM - 11:00 AM,01:00 PM - 03:00 PM,11:00 AM - 01:00 PM,05:00 PM - 07:00 PM",2025-10-28T16:08:25.782369,26.477710278876202,80.30395216501682,"Kakadeo, Kanpur",4.75
22,Vikas Mishra,vikas.mishra.22@pequire.com,+91 6664170303,Plumbing,"tap fitting,pipe leak,geyser repair,sink repair,water tank cleaning",14,Online,Verified,4.5,55,95,9,2057,21,budget,Punjabi,"05:00 PM - 07:00 PM,11:00 AM - 01:00 PM,01:00 PM - 03:00 PM",2025-12-26T16:08:25.782369,26.47571582211839,80.29426270588898,"Azad Nagar, Kanpur",5.69
23,Jitendra Singh,jitendra.singh.23@pequire.com,+91 6425311223,Electrical,"wiring,refrigerator",22,Online,Verified,4.1,328,73,14,3018,25,budget,"English,Bhojpuri,Punjabi","09:00 AM - 11:00 AM,01:00 PM - 03:00 PM",2025-06-03T16:08:25.782369,26.487891572599928,80.24591581060936,"Panki, Kanpur",10.63
24,Jitendra Yadav,jitendra.yadav.24@pequire.com,+91 6279506679,Electrical,"wiring,switchboard,washing machine,led light,fan repair,refrigerator",23,Offline,Verified,3.9,1,74,4,2779,25,standard,"Hindi,Bhojpuri","05:00 PM - 07:00 PM,01:00 PM - 03:00 PM,11:00 AM - 01:00 PM",2025-08-25T16:08:25.782369,26.46797009523576,80.31947179346623,"Swaroop Nagar, Kanpur",3.18
25,Pankaj Verma,pankaj.verma.25@pequire.com,+91 7548593196,Electrical,"switchboard,ac repair,wiring",25,Online,Verified,3.7,159,91,27,3190,16,premium,"Hindi,Punjabi","01:00 PM - 03:00 PM,05:00 PM - 07:00 PM",2025-07-29T16:08:25.782369,26.45344756785554,80.30098689882978,"Govind Nagar, Kanpur",5.39
26,Rajesh Kapoor,rajesh.kapoor.26@pequire.com,+91 9429692293,Plumbing,"toilet blockage,water tank cleaning,pipe leak,sink repair",9,Online,Verified,4.8,486,91,6,3254,5,standard,Bhojpuri,"11:00 AM - 01:00 PM,05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,03:00 PM - 05:00 PM,01:00 PM - 03:00 PM",2026-02-20T16:08:25.782369,26.422662561491833,80.28126195014244,"Barra, Kanpur",8.84
27,Amit Saini,amit.saini.27@pequire.com,+91 8060815200,Plumbing,"toilet blockage,water tank cleaning",3,Offline,Verified,4.3,479,60,0,2977,12,standard,"Punjabi,Bhojpuri","11:00 AM - 01:00 PM,01:00 PM - 03:00 PM,09:00 AM - 11:00 AM,03:00 PM - 05:00 PM,05:00 PM - 07:00 PM",2025-11-15T16:08:25.782369,26.395504002971958,80.31747889510312,"Naubasta, Kanpur",9.1
28,Vikas Mishra,vikas.mishra.28@pequire.com,+91 7496239342,Plumbing,"water tank cleaning,shower repair,sink repair,toilet blockage,geyser repair,tap fitting",3,Busy,Verified,3.7,279,80,17,329,23,standard,Hindi,"09:00 AM - 11:00 AM,05:00 PM - 07:00 PM,01:00 PM - 03:00 PM",2025-07-10T16:08:25.782369,26.429140838489396,80.34120560513091,"Kidwai Nagar, Kanpur",4.82
29,Arjun Kapoor,arjun.kapoor.29@pequire.com,+91 9694013055,Plumbing,"sink repair,pipe leak,tap fitting,shower repair,geyser repair",14,Busy,Verified,3.6,88,94,35,2978,5,standard,English,"05:00 PM - 07:00 PM,03:00 PM - 05:00 PM,01:00 PM - 03:00 PM,11:00 AM - 01:00 PM",2025-12-13T16:08:25.782369,26.492009374435284,80.25062324239876,"Kalyanpur, Kanpur",10.26
30,Rohan Yadav,rohan.yadav.30@pequire.com,+91 6924591256,Electrical,"washing machine,switchboard,fan repair,refrigerator,inverter,ac repair",9,Online,Verified,3.2,385,81,37,3248,22,standard,"Hindi,Punjabi","11:00 AM - 01:00 PM,09:00 AM - 11:00 AM,03:00 PM - 05:00 PM",2026-03-12T16:08:25.782369,26.465533719913385,80.30897786264137,"Gumti No. 5, Kanpur",4.26
31,Amit Chauhan,amit.chauhan.31@pequire.com,+91 9270158676,Electrical,"refrigerator,ac repair",3,Offline,Pending,3.9,417,88,9,2566,22,budget,"Hindi,English","01:00 PM - 03:00 PM,05:00 PM - 07:00 PM,03:00 PM - 05:00 PM",2025-06-12T16:08:25.782369,26.425477352829237,80.40159328456005,"Jajmau, Kanpur",7.17
32,Sandeep Gupta,sandeep.gupta.32@pequire.com,+91 6637658838,Carpentry,"furniture polish,bed repair",18,Online,Verified,3.6,228,79,28,182,9,standard,Punjabi,"09:00 AM - 11:00 AM,11:00 AM - 01:00 PM,05:00 PM - 07:00 PM,03:00 PM - 05:00 PM,01:00 PM - 03:00 PM",2026-03-21T16:08:25.782369,26.472620006383814,80.30253321521478,"Gumti No. 5, Kanpur",4.85
33,Vishal Jain,vishal.jain.33@pequire.com,+91 6045272627,Electrical,"led light,ac repair,refrigerator,wiring,inverter",20,Online,Verified,3.9,198,89,23,2887,25,standard,Punjabi,"09:00 AM - 11:00 AM,11:00 AM - 01:00 PM,01:00 PM - 03:00 PM,03:00 PM - 05:00 PM",2025-11-02T16:08:25.782369,26.398621420018973,80.3296757797471,"Naubasta, Kanpur",8.39
34,Deepak Sharma,deepak.sharma.34@pequire.com,+91 9822630708,Laundry,"curtain cleaning,woolens,carpet cleaning",4,Offline,Verified,4.9,241,96,11,3380,10,budget,"Bhojpuri,Punjabi","01:00 PM - 03:00 PM,03:00 PM - 05:00 PM,05:00 PM - 07:00 PM,11:00 AM - 01:00 PM,09:00 AM - 11:00 AM",2025-10-13T16:08:25.782369,26.42584686141766,80.37233739383119,"Shyam Nagar, Kanpur",5.51
35,Manish Mishra,manish.mishra.35@pequire.com,+91 6219164822,Plumbing,"shower repair,toilet blockage,sink repair,geyser repair,pipe leak,water tank cleaning",3,Busy,Verified,4.7,93,84,15,272,13,budget,Punjabi,"01:00 PM - 03:00 PM,03:00 PM - 05:00 PM,11:00 AM - 01:00 PM,09:00 AM - 11:00 AM",2025-08-19T16:08:25.782369,26.610228664570933,80.27923329948169,"Bithoor, Kanpur",17.0
36,Jitendra Agarwal,jitendra.agarwal.36@pequire.com,+91 7616686425,Electrical,"refrigerator,switchboard,wiring,ac repair,led light,washing machine",9,Online,Verified,3.9,108,66,10,92,9,budget,"Punjabi,Hindi,English","01:00 PM - 03:00 PM,11:00 AM - 01:00 PM,03:00 PM - 05:00 PM",2025-05-24T16:08:25.782369,26.443753274365285,80.38677376731987,"Jajmau, Kanpur",4.7
37,Ajay Gupta,ajay.gupta.37@pequire.com,+91 9654227662,Electrical,"washing machine,wiring,fan repair,refrigerator,switchboard,ac repair",6,Online,Verified,3.7,250,69,19,2167,13,premium,"Hindi,Bhojpuri,Punjabi","11:00 AM - 01:00 PM,03:00 PM - 05:00 PM,01:00 PM - 03:00 PM,09:00 AM - 11:00 AM,05:00 PM - 07:00 PM",2025-10-09T16:08:25.783367,26.4323735110953,80.3272293640648,"Kidwai Nagar, Kanpur",4.97
38,Rohan Ahmad,rohan.ahmad.38@pequire.com,+91 8667648156,Plumbing,"toilet blockage,shower repair,sink repair,geyser repair,tap fitting,pipe leak",9,Online,Verified,3.9,60,85,33,904,10,standard,"Bhojpuri,English","01:00 PM - 03:00 PM,09:00 AM - 11:00 AM",2025-12-06T16:08:25.783367,26.389908203495327,80.3428386790228,"Naubasta, Kanpur",9.12
39,Karan Kushwaha,karan.kushwaha.39@pequire.com,+91 7110050673,Plumbing,"pipe leak,shower repair,toilet blockage,geyser repair",3,Busy,Verified,4.6,84,65,10,1132,20,premium,"Hindi,English","03:00 PM - 05:00 PM,05:00 PM - 07:00 PM,11:00 AM - 01:00 PM,01:00 PM - 03:00 PM",2025-06-26T16:08:25.783367,26.466667702944168,80.23195420436194,"Panki, Kanpur",11.88
40,Irfan Saini,irfan.saini.40@pequire.com,+91 8120189845,Electrical,"inverter,refrigerator,switchboard,washing machine",19,Online,Verified,4.4,390,93,10,2917,6,budget,"Hindi,Bhojpuri,English","03:00 PM - 05:00 PM,01:00 PM - 03:00 PM,09:00 AM - 11:00 AM,05:00 PM - 07:00 PM",2025-08-06T16:08:25.783367,26.386121893044336,80.32249160324756,"Naubasta, Kanpur",9.93
41,Rahul Sharma,rahul.sharma.41@pequire.com,+91 9077294658,Laundry,"carpet cleaning,steam iron,stain removal,curtain cleaning,dry clean",18,Busy,Verified,4.5,131,95,14,933,8,budget,"Punjabi,Bhojpuri","05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,03:00 PM - 05:00 PM,11:00 AM - 01:00 PM,01:00 PM - 03:00 PM",2026-02-17T16:08:25.783367,26.47060428870058,80.31910644809675,"Gumti No. 5, Kanpur",3.2
42,Aman Mishra,aman.mishra.42@pequire.com,+91 8793713808,Laundry,"steam iron,dry clean,carpet cleaning,woolens,curtain cleaning,bridal wear",15,Online,Verified,3.7,272,84,4,1796,8,standard,"English,Hindi,Bhojpuri","05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,11:00 AM - 01:00 PM,03:00 PM - 05:00 PM,01:00 PM - 03:00 PM",2026-03-12T16:08:25.783367,26.450036863067417,80.2924335450212,"Govind Nagar, Kanpur",6.32
43,Sameer Rathore,sameer.rathore.43@pequire.com,+91 8573901284,Carpentry,"sofa repair,lock fix,door repair,modular kitchen,bed repair,furniture polish",11,Online,Verified,4.8,309,86,3,2018,17,standard,"English,Bhojpuri,Punjabi","01:00 PM - 03:00 PM,11:00 AM - 01:00 PM,09:00 AM - 11:00 AM",2025-10-03T16:08:25.783367,26.42276038344872,80.34126752261515,"Kidwai Nagar, Kanpur",5.52
44,Imran Rathore,imran.rathore.44@pequire.com,+91 7610411332,Laundry,"woolens,curtain cleaning,stain removal",8,Offline,Verified,4.1,301,66,5,2517,8,premium,"Hindi,Bhojpuri","11:00 AM - 01:00 PM,03:00 PM - 05:00 PM,09:00 AM - 11:00 AM",2025-07-22T16:08:25.783367,26.425844161236036,80.32369446069505,"Kidwai Nagar, Kanpur",5.78
45,Jitendra Gupta,jitendra.gupta.45@pequire.com,+91 6167203006,Electrical,"refrigerator,ac repair,led light,fan repair",13,Online,Verified,4.9,470,76,13,1420,14,budget,Hindi,"11:00 AM - 01:00 PM,09:00 AM - 11:00 AM,05:00 PM - 07:00 PM,01:00 PM - 03:00 PM",2025-05-15T16:08:25.783367,26.423504787086607,80.41113282299702,"Jajmau, Kanpur",8.01
46,Sameer Tiwari,sameer.tiwari.46@pequire.com,+91 9543636929,Laundry,"stain removal,dry clean,steam iron",21,Busy,Verified,3.8,178,64,38,2387,15,premium,"Hindi,Punjabi,English","01:00 PM - 03:00 PM,05:00 PM - 07:00 PM,11:00 AM - 01:00 PM,03:00 PM - 05:00 PM",2025-11-12T16:08:25.783367,26.606736551341395,80.27041787806826,"Bithoor, Kanpur",17.04
47,Arjun Khan,arjun.khan.47@pequire.com,+91 8141162540,Carpentry,"furniture polish,lock fix,sofa repair,bed repair",16,Online,Verified,3.7,425,83,12,646,22,premium,English,"03:00 PM - 05:00 PM,11:00 AM - 01:00 PM,01:00 PM - 03:00 PM,05:00 PM - 07:00 PM",2025-08-14T16:08:25.783367,26.475831922683973,80.35525844691941,"Civil Lines, Kanpur",0.62
48,Sameer Shukla,sameer.shukla.48@pequire.com,+91 7848979592,Plumbing,"toilet blockage,water tank cleaning,sink repair,shower repair,pipe leak",20,Online,Verified,3.8,46,78,27,1181,17,budget,English,"05:00 PM - 07:00 PM,01:00 PM - 03:00 PM,03:00 PM - 05:00 PM",2025-09-25T16:08:25.783367,26.484290897907997,80.35209841088093,"Civil Lines, Kanpur",1.41
49,Irfan Verma,irfan.verma.49@pequire.com,+91 8421668955,Electrical,"washing machine,inverter,ac repair,fan repair",23,Online,Verified,3.8,451,60,13,3053,17,budget,Punjabi,"03:00 PM - 05:00 PM,11:00 AM - 01:00 PM,09:00 AM - 11:00 AM,05:00 PM - 07:00 PM,01:00 PM - 03:00 PM",2025-05-12T16:08:25.783367,26.493645861835574,80.28645307183501,"Azad Nagar, Kanpur",6.89
50,Manoj Saini,manoj.saini.50@pequire.com,+91 8315190255,Carpentry,"door repair,furniture polish",24,Offline,Verified,4.9,356,91,1,135,6,standard,Punjabi,"01:00 PM - 03:00 PM,09:00 AM - 11:00 AM",2025-12-30T16:08:25.783367,26.413125555888584,80.32190228332762,"Naubasta, Kanpur",7.13
51,Pankaj Chauhan,pankaj.chauhan.51@pequire.com,+91 9863296343,Electrical,"refrigerator,washing machine,led light,ac repair,wiring",11,Online,Verified,3.9,12,95,36,1947,22,budget,"Hindi,Punjabi,Bhojpuri","05:00 PM - 07:00 PM,01:00 PM - 03:00 PM,03:00 PM - 05:00 PM,11:00 AM - 01:00 PM,09:00 AM - 11:00 AM",2025-11-12T16:08:25.783367,26.445881270426494,80.2883884071468,"Govind Nagar, Kanpur",6.88
52,Jitendra Saini,jitendra.saini.52@pequire.com,+91 9897369407,Electrical,"refrigerator,fan repair,inverter,wiring,led light,switchboard",9,Online,Pending,1.2,384,63,6,1787,13,standard,"English,Punjabi,Bhojpuri","11:00 AM - 01:00 PM,03:00 PM - 05:00 PM,05:00 PM - 07:00 PM,01:00 PM - 03:00 PM",2025-09-07T16:08:25.783367,26.421237007690024,80.35668035495014,"Shyam Nagar, Kanpur",5.63
53,Sandeep Agarwal,sandeep.agarwal.53@pequire.com,+91 8191721106,Plumbing,"pipe leak,water tank cleaning,toilet blockage,geyser repair,sink repair,shower repair",22,Online,Verified,4.6,1,93,10,3120,17,budget,"Hindi,English,Punjabi","03:00 PM - 05:00 PM,05:00 PM - 07:00 PM,11:00 AM - 01:00 PM,09:00 AM - 11:00 AM",2025-05-07T16:08:25.783367,26.45653498421367,80.36197835554202,"Civil Lines, Kanpur",1.99
54,Vishal Gupta,vishal.gupta.54@pequire.com,+91 6059817236,Laundry,"dry clean,carpet cleaning,woolens,bridal wear,curtain cleaning,stain removal",17,Online,Verified,4.7,2,86,1,2243,22,premium,"Punjabi,Hindi,Bhojpuri","05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,01:00 PM - 03:00 PM",2025-12-27T16:08:25.783367,26.45593514103563,80.315867170563,"Gumti No. 5, Kanpur",3.92
55,Rohan Maurya,rohan.maurya.55@pequire.com,+91 9554404318,Carpentry,"furniture polish,modular kitchen",3,Online,Verified,4.5,441,75,3,37,8,standard,"Punjabi,Hindi","09:00 AM - 11:00 AM,05:00 PM - 07:00 PM,11:00 AM - 01:00 PM,03:00 PM - 05:00 PM",2025-12-18T16:08:25.783367,26.504524050846538,80.28353227026155,"Azad Nagar, Kanpur",7.67
56,Salman Khan,salman.khan.56@pequire.com,+91 7824351116,Electrical,"wiring,led light,refrigerator,ac repair",13,Online,Verified,3.6,366,61,15,1953,20,standard,English,"03:00 PM - 05:00 PM,05:00 PM - 07:00 PM,11:00 AM - 01:00 PM,01:00 PM - 03:00 PM,09:00 AM - 11:00 AM",2025-06-16T16:08:25.783367,26.470526279543403,80.29227498452728,"Kakadeo, Kanpur",5.87
57,Ajay Ahmad,ajay.ahmad.57@pequire.com,+91 7697095858,Laundry,"carpet cleaning,bridal wear,dry clean,curtain cleaning,steam iron",7,Online,Verified,4.1,212,96,9,2218,5,premium,"English,Bhojpuri","05:00 PM - 07:00 PM,11:00 AM - 01:00 PM,09:00 AM - 11:00 AM,01:00 PM - 03:00 PM",2025-09-15T16:08:25.783367,26.494131396217753,80.28953832964214,"Kakadeo, Kanpur",6.63
58,Manish Rathore,manish.rathore.58@pequire.com,+91 9330534828,Plumbing,"water tank cleaning,sink repair,geyser repair,tap fitting",24,Online,Verified,4.9,324,90,2,2258,25,premium,"Bhojpuri,Punjabi","01:00 PM - 03:00 PM,05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,03:00 PM - 05:00 PM",2025-06-05T16:08:25.783367,26.431450110562427,80.38316319119133,"Shyam Nagar, Kanpur",5.48
59,Sanjay Yadav,sanjay.yadav.59@pequire.com,+91 7983195749,Electrical,"switchboard,refrigerator,inverter,wiring,washing machine",9,Online,Verified,3.8,149,63,32,510,22,standard,"Punjabi,English","11:00 AM - 01:00 PM,03:00 PM - 05:00 PM,09:00 AM - 11:00 AM",2025-09-05T16:08:25.783367,26.501944577684224,80.25405931403218,"Kalyanpur, Kanpur",10.24
60,Sandeep Khan,sandeep.khan.60@pequire.com,+91 8127298732,Plumbing,"toilet blockage,water tank cleaning",21,Offline,Verified,3.9,227,92,7,3498,16,standard,"Punjabi,English","09:00 AM - 11:00 AM,03:00 PM - 05:00 PM,11:00 AM - 01:00 PM,05:00 PM - 07:00 PM",2026-03-17T16:08:25.784364,26.466142124914185,80.38359255877019,"Cantonment, Kanpur",3.28
61,Amit Saini,amit.saini.61@pequire.com,+91 8069187116,Electrical,"washing machine,led light",8,Online,Verified,4.4,399,69,9,3318,17,premium,Punjabi,"09:00 AM - 11:00 AM,05:00 PM - 07:00 PM,03:00 PM - 05:00 PM",2026-04-04T16:08:25.784364,26.484532075059228,80.30890136171553,"Vishnupuri, Kanpur",4.45
62,Sanjay Kushwaha,sanjay.kushwaha.62@pequire.com,+91 7133222789,Electrical,"inverter,led light,switchboard",15,Busy,Verified,4.9,272,96,2,3395,13,premium,Bhojpuri,"05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,03:00 PM - 05:00 PM",2025-06-15T16:08:25.784364,26.493569889515182,80.31040040750248,"Swaroop Nagar, Kanpur",4.74
63,Arvind Maurya,arvind.maurya.63@pequire.com,+91 6226300143,Laundry,"curtain cleaning,bridal wear",11,Offline,Verified,3.9,274,99,23,927,6,budget,"Bhojpuri,Hindi","11:00 AM - 01:00 PM,05:00 PM - 07:00 PM,03:00 PM - 05:00 PM,01:00 PM - 03:00 PM",2025-09-08T16:08:25.784364,26.476650680146694,80.30204508497044,"Kakadeo, Kanpur",4.92
64,Deepak Kapoor,deepak.kapoor.64@pequire.com,+91 6299943471,Electrical,"led light,switchboard,washing machine,inverter",15,Offline,Verified,4.1,67,72,11,1867,9,standard,"English,Punjabi","09:00 AM - 11:00 AM,01:00 PM - 03:00 PM",2026-03-31T16:08:25.784364,26.4733205253128,80.24446800096763,"Panki, Kanpur",10.63
65,Ravi Kapoor,ravi.kapoor.65@pequire.com,+91 8897615572,Carpentry,"cabinet fix,door repair,furniture polish,sofa repair,lock fix",10,Online,Verified,3.9,484,61,16,2209,5,standard,"Punjabi,Bhojpuri","05:00 PM - 07:00 PM,01:00 PM - 03:00 PM,11:00 AM - 01:00 PM,03:00 PM - 05:00 PM,09:00 AM - 11:00 AM",2025-11-08T16:08:25.784364,26.504904158066633,80.30467944010927,"Azad Nagar, Kanpur",5.93
